Date,HLPartners,S&P 500 (Adj),Benchmark
9/30/16,100,100,100
10/7/16,100,99.33,99.68
10/14/16,100.02,98.37,98.13
10/21/16,100.03,98.75,99.19
10/28/16,99.85,98.07,98.14
10/31/16,99.88,98.06,98.34
11/4/16,99.31,96.17,95.93
11/11/16,99.19,99.82,96.19
11/18/16,99.23,100.63,96.01
11/25/16,99.99,102.08,97.42
11/30/16,100.13,101.41,97.41
12/2/16,99.97,101.09,96.93
12/9/16,100.74,104.21,100.03
12/16/16,100.51,104.14,98.77
12/23/16,100.23,104.41,97.83
12/31/16,100.45,103.25,98.12
1/6/17,101.51,105.01,100.28
1/13/17,101.8,104.91,101.21
1/20/17,101.83,104.75,100.81
1/27/17,102.37,105.83,102.43
1/31/17,102.29,105.1,101.88
2/3/17,102.57,105.96,102.82
2/10/17,102.81,106.82,103.53
2/17/17,102.95,108.43,104.42
2/24/17,103.11,109.18,104.69
2/28/17,102.98,109.01,104.17
3/3/17,103.25,109.91,104.98
3/10/17,103.21,109.42,104.72
3/17/17,104.1,109.68,106.79
3/24/17,103.86,108.1,106.5
3/31/17,104.36,108.97,106.5
4/7/17,104.21,108.64,106.1
4/14/17,103.81,107.41,105.36
4/21/17,104.1,108.32,106.01
4/30/17,105.94,109.96,108.28
5/5/17,105.91,110.65,109.63
5/12/17,106.14,110.27,110.22
5/19/17,106.44,109.84,110.51
5/26/17,106.87,111.42,111.53
5/31/17,106.99,111.23,110.99
6/2/17,107.37,112.49,112.56
6/9/17,107.34,112.15,111.8
6/16/17,107.42,112.22,111.52
6/23/17,107.83,112.45,111.14
6/30/17,107.84,111.77,110.85
7/7/17,107.79,111.85,110.44
7/14/17,109.29,113.42,113.84
7/21/17,109.44,114.07,114.55
7/28/17,109.62,114.01,114.6
7/31/17,109.67,113.93,114.69
8/4/17,109.97,114.23,115.22
8/11/17,108.7,112.59,112.91
8/18/17,109.27,111.87,113.47
8/25/17,110.46,112.67,115.18
8/31/17,110.84,113.99,115.61
9/1/17,110.92,114.31,116.03
9/8/17,110.99,113.52,115.85
9/15/17,111.44,115.31,117.38
9/22/17,111.67,115.4,117.41
9/30/17,111.86,116.19,117.22
10/6/17,112.62,117.57,118.38
10/13/17,113.1,117.75,120
10/20/17,113.05,118.77,119.85
10/27/17,113.35,119.04,119.75
10/31/17,113.37,118.77,120.04
11/3/17,113.72,119.35,120.38
11/10/17,113.85,119.09,119.96
11/17/17,113.97,118.94,120.17
11/24/17,114.96,120.02,122.13
11/30/17,114.23,122.11,121.26
12/1/17,113.92,121.86,120.79
12/8/17,114.06,122.29,121.02
12/15/17,114.4,123.41,121.67
12/22/17,115.67,123.75,122.16
12/31/17,115.87,123.31,122.68
1/5/18,116.96,126.51,126.69
1/12/18,117.27,128.5,128.34
1/19/18,117.54,129.61,129.89
1/26/18,118.21,132.5,132.94
1/31/18,117.59,130.23,130.46
2/2/18,115.74,127.39,127.02
2/9/18,104.65,120.81,120.25
2/16/18,109.49,126.01,126.36
2/23/18,109.83,126.7,126.71
2/28/18,108.15,125.16,124.08
3/2/18,107.6,124.12,123.35
3/9/18,109.93,128.52,127.02
3/16/18,110.18,126.92,125.83
3/23/18,105.16,119.37,119.83
3/31/18,107.95,121.8,122.85
4/6/18,106.49,120.12,121.07
4/13/18,109.03,122.51,123.08
4/20/18,109.81,123.15,123.17
4/27/18,110.39,123.14,123.12
4/30/18,110.11,122.13,122.35
5/4/18,110.3,122.84,122.26
5/11/18,111.98,125.8,124.58
5/18/18,111.53,125.12,122.92
5/25/18,111.15,126.06,123.37
5/31/18,110.2,124.77,121.38
6/1/18,111.41,126.12,122.74
6/8/18,112.51,128.17,123.65
6/15/18,111.86,128.2,122.45
6/22/18,109.65,127.05,119.66
6/30/18,108.12,125.37,118.11
7/6/18,108.81,127.28,119.16
7/13/18,109.73,129.20,120.31
7/20/18,109.79,129.22,120.57
7/27/18,110.38,130.00,121.90
7/31/18,110.43,129.89,122.05
8/3/18,110.29,131.00,121.42
8/10/18,109.71,130.67,119.62
8/17/18,109.11,131.45,118.81
8/24/18,110.51,132.58,120.75
8/31/18,110.75,133.82,120.99
9/7/18,109.23,132.44,118.01
9/14/18,110.35,133.98,119.64
9/21/18,111.42,135.12,122.21
9/30/18,111.38,134.39,121.33
10/5/18,109.65,133.08,118.15
10/12/18,106.00,127.62,114.40
10/19/18,105.53,127.65,113.79
10/26/18,103.10,122.62,109.92
10/31/18,103.98,125.06,111.75
11/2/18,105.12,125.59,113.91
11/9/18,105.85,128.26,113.92
11/16/18,105.80,126.20,113.96
11/23/18,104.22,121.41,110.67
11/30/18,106.51,127.30,114.38
12/7/18,104.00,121.44,110.22
12/14/18,103.73,119.91,109.50
12/21/18,98.93,111.45,103.89
12/28/18,100.44,114.64,106.23
12/31/18,100.77,115.62,106.44
1/4/19,102.14,116.77,108.02
1/11/19,103.39,119.74,110.57
1/18/19,103.83,123.17,113.04
1/25/19,104.06,122.90,113.57
1/31/19,104.71,124.71,115.27
2/1/19,104.78,124.82,114.99
2/8/19,105.01,124.89,114.12
2/15/19,105.40,128.01,116.00
2/22/19,106.08,128.80,117.39
2/28/19,105.75,128.42,116.81
3/1/19,106.12,129.31,117.35
3/8/19,105.21,126.51,115.01
3/15/19,107.16,130.17,118.50
3/22/19,106.35,129.17,117.08
3/31/19,107.35,130.72,118.34
4/5/19,108.63,133.41,121.34
4/12/19,109.00,134.09,121.63
4/19/19,109.09,133.98,121.91
4/26/19,109.38,135.59,121.71
4/30/19,109.50,135.86,122.02
5/3/19,109.82,135.85,122.41
5/10/19,107.02,132.89,118.49
5/17/19,105.14,131.88,116.33
5/24/19,104.74,130.34,115.52
5/31/19,103.50,126.92,114.28
6/7/19,106.55,132.52,117.78
6/14/19,106.89,133.21,117.72
6/21/19,108.34,136.15,120.30
6/30/19,108.43,135.67,120.47
7/5/19,109.33,137.92,121.49
7/12/19,109.68,138.99,121.56
7/19/19,109.70,137.28,120.84
7/26/19,110.12,139.55,121.45
7/31/19,108.47,137.45,119.33
8/2/19,105.97,135.23,117.08
8/9/19,104.41,134.61,115.84
8/16/19,102.98,133.23,114.69
8/23/19,102.83,131.31,113.46
8/31/19,105.02,134.97,116.39
9/6/19,106.35,137.38,118.89
9/13/19,106.86,138.70,121.00
9/20/19,106.66,137.99,119.99
9/27/19,105.70,136.60,118.33
9/30/19,106.21,137.29,118.90
10/4/19,105.74,136.15,118.02
10/11/19,107.06,136.99,119.76
10/18/19,108.24,137.72,120.59
10/25/19,109.48,139.40,122.25
10/31/19,109.47,140.09,122.60
11/1/19,109.99,141.45,123.96
11/8/19,110.48,142.65,124.98
11/15/19,110.20,143.91,124.87
11/22/19,110.36,143.45,124.30
11/30/19,110.47,144.86,124.59
12/6/19,111.14,145.09,125.42
12/13/19,112.56,146.14,127.52
12/20/19,113.16,148.56,128.23
12/27/19,113.31,149.43,129.18
12/31/19,113.19,149.00,128.75
1/3/20,113.38,149.19,128.77
1/10/20,113.87,150.60,129.93
1/17/20,114.12,153.56,132.01
1/24/20,113.85,151.99,129.53
1/31/20,112.91,148.76,125.11
2/7/20,113.57,153.47,128.63
2/14/20,113.41,155.89,130.32