Date,中证500,北京,上海,广州,深圳,杭州,武汉,郑州,西安,成都
6/30/2018,5217.76,6.17,5.19,3.23,5.39,3.15,1.88,1.49,1.49,1.67
7/31/2018,5188.72,6.19,5.37,3.31,5.74,3.14,1.90,1.51,1.52,1.68
8/31/2018,4814.82,6.30,5.41,3.31,5.80,3.15,1.88,1.51,1.52,1.66
9/30/2018,4800.73,6.16,5.25,3.29,5.88,3.11,1.85,1.50,1.49,1.61
10/31/2018,4272.55,6.21,5.16,3.32,5.61,3.18,1.85,1.46,1.42,1.54
11/30/2018,4376.65,6.18,5.16,3.30,5.79,3.16,1.81,1.43,1.40,1.55
12/31/2018,4168.04,6.28,5.19,3.32,6.05,3.07,1.82,1.38,1.43,1.54
1/31/2019,4176.47,6.47,5.32,3.38,6.08,3.15,1.79,1.38,1.46,1.53
2/28/2019,5025.29,6.55,5.32,3.34,6.16,3.21,1.87,1.45,1.56,1.60
3/31/2019,5547.66,6.49,5.21,3.32,6.27,3.18,1.86,1.50,1.50,1.59
4/30/2019,5307.56,6.42,5.25,3.32,6.25,3.18,1.83,1.48,1.48,1.58
5/31/2019,4912.00,6.38,5.21,3.31,6.24,3.16,1.82,1.43,1.45,1.57
6/30/2019,4950.48,6.39,5.19,3.39,6.30,3.02,1.81,1.39,1.45,1.57
7/31/2019,4903.20,6.44,5.35,3.45,6.22,3.08,1.81,1.41,1.50,1.55
8/31/2019,4886.49,6.54,5.33,3.37,6.44,3.10,1.83,1.41,1.50,1.59
9/30/2019,4940.90,6.53,5.32,3.39,6.47,3.15,1.83,1.43,1.50,1.56
10/31/2019,4962.35,6.43,5.36,3.37,6.54,3.08,1.82,1.39,1.48,1.57
11/30/2019,4894.94,6.34,5.38,3.49,6.54,2.91,1.85,1.40,1.47,1.60
12/31/2019,5267.66,6.31,5.45,3.57,6.55,3.05,1.84,1.41,1.48,1.61
1/31/2020,5377.74,6.50,5.59,3.53,6.54,2.90,1.77,1.43,1.48,1.58
2/29/2020,5451.29,7.06,5.81,3.69,7.47,2.83,1.70,1.38,1.57,1.61
3/31/2020,5041.45,6.86,5.47,3.55,7.18,3.16,1.72,1.47,1.54,1.62
4/30/2020,5353.86,6.33,5.41,3.32,7.24,3.08,1.78,1.46,1.50,1.59
5/31/2020,5406.34,6.57,5.50,3.41,7.28,3.05,1.89,1.47,1.51,1.62
6/30/2020,5864.42,6.26,5.49,3.59,7.49,3.15,1.89,1.43,1.54,1.67
7/31/2020,6579.67,6.30,5.68,3.79,7.43,3.09,1.87,1.43,1.51,1.67
8/31/2020,6672.36,6.25,5.82,3.73,7.52,3.12,1.92,1.39,1.53,1.72
9/30/2020,6192.50,6.41,5.86,3.90,7.67,3.12,1.91,1.39,1.56,1.79
10/31/2020,6111.48,6.36,5.88,3.84,7.87,3.22,1.90,1.41,1.60,1.74
11/30/2020,6319.80,6.22,5.85,3.92,8.18,3.38,1.95,1.41,1.63,1.73
12/31/2020,6367.18,6.47,5.91,3.99,8.80,3.39,1.90,1.43,1.58,1.74
1/31/2021,6346.14,6.65,6.19,4.07,9.00,3.38,1.93,1.42,1.64,1.78
2/28/2021,6364.35,6.49,6.61,4.26,8.61,3.65,2.00,1.40,1.70,1.86
3/31/2021,6254.07,6.53,6.76,4.28,6.89,3.68,1.95,1.44,1.67,1.84
4/30/2021,6485.71,6.68,6.91,4.48,6.75,3.62,1.99,1.46,1.80,1.92
5/31/2021,6728.99,6.58,6.94,4.38,6.68,3.54,2.02,1.49,1.99,1.91
6/30/2021,6808.18,6.78,7.09,4.39,7.07,3.76,2.03,1.46,2.02,1.94
7/31/2021,6767.32,6.85,7.06,4.48,6.71,3.62,2.00,1.49,1.87,1.85
8/31/2021,7255.34,6.88,6.50,4.64,6.76,3.93,1.99,1.48,1.82,1.75
9/30/2021,7103.61,6.97,6.47,4.30,6.56,3.90,2.01,1.47,1.83,1.70
10/31/2021,7022.50,6.75,6.63,4.33,6.57,3.79,1.92,1.46,1.62,1.72
11/30/2021,7252.76,6.79,6.77,4.68,6.81,4.05,1.97,1.47,1.74,1.70
12/31/2021,7359.40,6.38,6.68,4.61,7.12,4.24,1.98,1.46,1.68,1.66
1/31/2022,6580.53,6.53,6.81,4.66,6.94,3.85,2.02,1.43,1.46,1.69
2/28/2022,6853.31,6.71,6.80,4.70,6.78,3.91,2.00,1.56,1.79,1.72
3/31/2022,6327.03,6.67,7.17,4.53,6.81,4.38,2.02,1.49,1.62,1.93
4/30/2022,5627.90,6.75,6.78,4.59,7.03,4.21,2.01,1.45,1.68,1.79
5/31/2022,6026.24,6.64,6.91,4.67,7.03,4.05,1.92,1.41,1.62,1.80
6/30/2022,6454.08,6.79,6.77,4.58,6.94,4.23,1.91,1.47,1.69,1.86
7/31/2022,6294.11,6.95,6.77,4.51,6.99,4.43,1.91,1.44,1.68,1.86
8/31/2022,6155.75,7.04,6.83,4.90,7.03,4.40,1.89,1.38,1.71,1.91
9/30/2022,5714.06,7.04,6.92,4.84,6.87,4.44,1.90,1.46,1.72,1.59
10/31/2022,5807.11,7.22,6.77,4.88,6.61,4.36,1.90,1.27,1.75,1.72
11/30/2022,6156.15,7.01,6.97,5.01,6.97,4.10,1.88,1.29,1.75,1.71
12/31/2022,5864.47,6.50,7.26,4.71,6.82,4.30,1.90,1.29,1.82,1.70
1/31/2023,6289.15,6.83,7.13,5.06,7.20,3.67,1.99,1.47,1.82,1.70
2/28/2023,6357.54,7.10,7.12,4.52,6.83,4.32,1.94,1.36,1.78,1.67
3/31/2023,6339.82,7.13,7.17,4.68,6.75,4.51,1.91,1.38,1.79,1.64
4/30/2023,6241.24,7.15,7.31,4.46,6.94,4.31,1.89,1.35,1.83,1.63
5/31/2023,6047.80,7.19,6.99,4.61,6.80,4.28,1.87,1.35,1.74,1.65
6/30/2023,5998.73,7.17,6.91,4.36,6.90,4.12,1.86,1.30,1.77,2.08
7/31/2023,6088.24,7.07,6.98,4.66,7.05,4.08,1.86,1.27,1.78,1.85
8/31/2023,5739.40,7.17,7.02,5.15,7.03,4.03,1.87,1.47,1.74,1.84
9/30/2023,5690.77,7.23,7.14,4.60,6.89,4.29,1.97,1.41,1.77,1.85
10/31/2023,5528.24,7.07,7.13,4.53,6.76,4.12,1.92,1.39,1.78,1.88